Status ID,Status Type,Status Link,Status Name,Status Created Time,Status Message,Status Shares Count,Status Likes Count,Status Comments Count,Comment ID,Comment Created Time,Comment Message,Comment From,Comment Likes Count,Reply ID,Reply Created Time,Reply Message,Reply From,Reply Likes Count
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260789840650386,2016-11-10 22:00:12,"This is one big step to a digital economy, for a smart nation to stay competitive in new business model. Building and training our people with right skillset in this industry is crucial to keep our economy vibrant.",Wentian Lian (1312488892114667),14
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260867957309241,2016-11-10 22:30:18,"Thanks PM Lee for coming to visit us in this big day for Google, it's been exciting and inspiring. We have come a long way in the last 10+ years and are proud to have grown in this little Red Dot!",Gil Gaeta (10157787642600441),7
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1260842793978424,2016-11-10 22:21:55,"Mr Winson, please refer back to the National Day Rally 2016 speech by LHL to embrace Uber & Grab. https://www.youtube.com/watch?v=4b6ovLL3iEE  at 6:50",Danny Tong (10154686295173766),3
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1261010010628369,2016-11-10 23:16:24,Danny Tong market in Singapore is too small to have so so many uber n grab Danny Tong,Winson Low (642881942548132),1
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1261031580626212,2016-11-10 23:43:38,"Perhaps you might want to join Uber/Grab.
The last time I took a taxi was 3 years ago. Been using Uber/Grab ever since.

I am sick of having to pay extra charges for using credit card when I take taxi. The worst part is some taxi don't even accept credit cards or simply say that the machine is spoilt. Uber/Grab solved that problem for me.
I am sick of having to walk across streets from my house just to flag a taxi. With Uber/Grab, they solved my problem by waiting for me at the lifts area and best part is there isn't a booking fee. If Uber doesn't charge a booking fee, why should I call and book a taxi.

Come and convince me to take a taxi again when the taxi can solve my above few problems.",Lim Zhenghong (10154085539191724),2
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1261125247283512,2016-11-11 01:54:55,"I think people's out there must read history already. Long Long time ago. Lee Kuan Yew had say before. There is will only 1 taxi Colour. And no private car and ba Wang Che. But end up. Now what? 

Is this a kind of lies? Or trying to twist their words?",Christina Wong (10154803273884684),1
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1261132693949434,2016-11-11 02:08:40,"When time is good you enjoy and now you have competition you complain and ask the government for help
Learn to stand on your own two feet",Patrick Tay (1660806790877410),1
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1261171167278920,2016-11-11 03:00:09,"Christina Wong as you have said it has spoken long long time ago, now that era has changed lets embrace the shifts and work what best for all of us",Angelica Wang (1176344485746081),0
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1261182863944417,2016-11-11 03:08:38,"Oh so that mean it's was just a lies? 

No matter how Long it's is. Have to know that. That was his promise to every single one out there to everyone.",Christina Wong (10154803273884684),0
125845680811480_1260769963985707,video,https://www.facebook.com/leehsienloong/videos/1260769963985707/,<no name>,2016-11-10 21:46:06,"Toured the new Google campus at the launch of their new Asia Pacific headquarters in Singapore this morning. I’ve been to their headquarters in California (bit.ly/2fnG6vC), and I think they’ve managed to bring a bit of Silicon Valley to Singapore! – LHL

(PMO Video by Alex Qiu and Chiez How)",504,6248,95,1260769963985707_1260800543982649,2016-11-10 22:05:33,"Sir, please do something for taxi drivers, we are suffering really badly. There are too many grab and uber in Singapore causing us to not earn enough for our families",Winson Low (642881942548132),2,1260769963985707_1261183530611017,2016-11-11 03:09:33,"So if you say don't complain. Mean after election cannot complain. But election time can complain is it? So taxi driver cannot speak for themselves? So what for Lee Hsien Long write on his Facebook page that would like to listen what other try to reach him. Might as well close the Facebook page. This is taxi driver freedom of speech isn't it? They are not trying to ask for help. But they want Lee Hsien Long to know what is going on. 

People's that earning big bucks of money. Will not understand about small bucks of money for others. 

And people's that say they have to learn to stand on their own feet but not asking  government for help. 

Can I ask a question? 

Who make this place become like this? Taxi driver rental fee how much a day? Do you all know? Did they earn. Go and count back. If that is your Father I don't think you all will say that easy.",Christina Wong (10154803273884684),1
